,SVR_Forecast_Variance
2024-11-29,0.21632056063599636
2024-12-02,0.1493485511866226
2024-12-03,0.1575620242102248
2024-12-04,0.1454057455597242
2024-12-05,0.10764164083025607
2024-12-06,0.14843859572849383
2024-12-09,0.16038877048430644
2024-12-10,0.1951367428982962
2024-12-11,0.31419912077020806
2024-12-12,0.14515319960177664
2024-12-13,0.21201177270948002
2024-12-16,0.2639390698948946
2024-12-17,0.1664011737552752
2024-12-18,0.2570375224952649
2024-12-19,0.8805527162979597
2024-12-20,0.8489680359835441
2024-12-23,0.6733668382809835
2024-12-24,0.9116031328437479
2024-12-25,0.8215258424749027
2024-12-26,0.15223044434990463
2024-12-27,0.24350050966292802
2024-12-30,0.34683633381388107
2024-12-31,0.5333564788344338
2025-01-01,0.42468903995583707
2025-01-02,0.4711493027249046
2025-01-03,0.46639039006638955
2025-01-06,0.24234443860591426
2025-01-07,0.15026012508762643
2025-01-08,0.26019039677177846
2025-01-09,0.4371405472862804
2025-01-10,0.38946201859336743
2025-01-13,0.3934791765408764
2025-01-14,0.6410867250087476
2025-01-15,0.3553668839026081
2025-01-16,0.4131430955894186
2025-01-17,0.4020911736732212
2025-01-20,0.17536401856009565
2025-01-21,0.35760271189912424
2025-01-22,0.3556130152182848
2025-01-23,0.12173687800326216
2025-01-24,0.13621984721796565
2025-01-27,0.16839630081501422
2025-01-28,0.3504824522345524
2025-01-29,0.435045142134609
2025-01-30,0.3108405444133229
2025-01-31,0.40755304307408224
2025-02-03,0.3870564047406164
2025-02-04,0.3776550963961146
2025-02-05,0.27714787204697533
2025-02-06,0.22071367102970352
2025-02-07,0.20510445680690814
2025-02-10,0.28284642764593215
2025-02-11,0.31922107291799123
2025-02-12,0.20337567703350123
2025-02-13,0.28270091129599895
2025-02-14,0.18387327898965666
2025-02-17,0.15781256204096705
2025-02-18,0.17139780494124868
2025-02-19,0.19886365756947166
2025-02-20,0.21434495864121816
2025-02-21,0.16449294516426616
2025-02-24,0.3570337180303406
2025-02-25,0.6317962036763839
2025-02-26,0.4744704106742476
2025-02-27,0.6937381802747357
2025-02-28,0.643144376797972
2025-03-03,0.5244501426491048
2025-03-04,0.5547064456618868
2025-03-05,0.9780140720759805
2025-03-06,0.6184197459338814
2025-03-07,0.7453293290582397
2025-03-10,1.0564084013704842
2025-03-11,0.9310358165937753
2025-03-12,1.0167717531897051
2025-03-13,0.6683688543342472
2025-03-14,1.0160334230445085
2025-03-17,0.8685988394752661
2025-03-18,0.49991237535351596
2025-03-19,0.5416555701951962
2025-03-20,0.6267129115961478
2025-03-21,0.5354527236404443
2025-03-24,0.39947216165312627
2025-03-25,0.24125157001032305
2025-03-26,0.2413578191532506
2025-03-27,0.3068759402536434
2025-03-28,0.5540366630374282
2025-03-31,0.5366010697817976
2025-04-01,0.9105519586726026
2025-04-02,0.6222421044345067
2025-04-03,0.6775041855981574
2025-04-04,0.8326601678982898
2025-04-07,0.8031498385457134
2025-04-08,0.82190656331156
2025-04-09,0.8438336693694022
2025-04-10,0.8598640950827404
2025-04-11,0.8641899340662097
2025-04-14,0.8633838248463886
2025-04-15,0.8560953530628702
2025-04-16,0.8650931628649222
2025-04-17,1.1656565097995097
2025-04-18,0.8320735550908249
2025-04-21,0.8535791872075529
2025-04-22,1.0211321393080197
2025-04-23,0.9929187184897094
2025-04-24,0.9087218501349315
2025-04-25,0.7340448860180676
2025-04-28,0.878333185124041
2025-04-29,0.6395023120229428
2025-04-30,0.627515950685129
2025-05-01,0.5321298424226455
2025-05-02,0.4683891654584166
2025-05-05,0.34682576637649637
2025-05-06,0.391233079392171
2025-05-07,0.6049136693340776
2025-05-08,0.5523993042199312
2025-05-09,0.5867545330879214
2025-05-12,0.4625176859339694
2025-05-13,0.5661797777520284
2025-05-14,0.5301667599956306
2025-05-15,0.44307614183599425
2025-05-16,0.6327358467316013
2025-05-19,0.6434431462433808
2025-05-20,0.18911370785821613
2025-05-21,0.23375439650502783
2025-05-22,0.4256111471095479
2025-05-23,0.574855124635406
2025-05-26,0.5753869731300593
2025-05-27,0.7907354221791929
2025-05-28,0.4784881668252452
2025-05-29,0.34984840088896113
2025-05-30,0.383717017623716
2025-06-02,0.39807527262612996
2025-06-03,0.4703172621067737
2025-06-04,0.1942739776075736
2025-06-05,0.16970718416765984
2025-06-06,0.2540787086752827
2025-06-09,0.21201403162996624
2025-06-10,0.2212454454165057
2025-06-11,0.19241999405774945
2025-06-12,0.24936320631598385
2025-06-13,0.27551360303924566
2025-06-16,0.3530384292878783
2025-06-17,0.4224953423741632
2025-06-18,0.4650593030681666
2025-06-19,0.5146078558978697
2025-06-20,0.4426486920493737
2025-06-23,0.4269440649059657
2025-06-24,0.3490769095488416
2025-06-25,0.1721129201164847
2025-06-26,0.13527342262163145
2025-06-27,0.14971982559173203
2025-06-30,0.21749287772212667
2025-07-01,0.18425973145239039
2025-07-02,0.1811881048300774
2025-07-03,0.20868115668064668
2025-07-04,0.16119800706870924
2025-07-07,0.14463830132679023
2025-07-08,0.2639773292790728
2025-07-09,0.29032645643608546
2025-07-10,0.2738379465027777
2025-07-11,0.22225375311486462
2025-07-14,0.24564482980355729
2025-07-15,0.21950551676499586
2025-07-16,0.23176413053347655
2025-07-17,0.24811248003014896
2025-07-18,0.1839501605586451
2025-07-21,0.16286839948666798
2025-07-22,0.18017540962645562
2025-07-23,0.17604046816077024
2025-07-24,0.1509125952089373
2025-07-25,0.12741702642882047
2025-07-28,0.12076452315894415
2025-07-29,0.14981382131317655
2025-07-30,0.18073459999443087
2025-07-31,0.18323479193194392
2025-08-01,0.21895806145933827
2025-08-04,0.4311104180099571
2025-08-05,0.38288930810247296
2025-08-06,0.4324408907831362
2025-08-07,0.4191552216796143
2025-08-08,0.4483642751225034
2025-08-11,0.2829597962339544
2025-08-12,0.20059196412883307
2025-08-13,0.18088068368316357
2025-08-14,0.136354589261941
2025-08-15,0.15062337369159118
2025-08-18,0.2198099177598445
2025-08-19,0.242291305113437
